Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2,Năm,Tháng,Ngày,Ngày/Tháng/Năm
"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3 phòng,33 m²,8.14 m,5 m,"65,15 triệu/m²",2020,8,4,4/8/2020
"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,35 m²,6 m,6 m,"111,43 triệu/m²",2020,8,4,4/8/2020
"Đường Tố Hữu, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,45 m²,6 m,6 m,"55,56 triệu/m²",2020,8,4,4/8/2020
"Đường Đa Sỹ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,35 m²,6 m,6 m,"58,86 triệu/m²",2020,8,4,4/8/2020
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,81 m²,6 m,6 m,"39,51 triệu/m²",2020,8,4,4/8/2020
"23, Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,6 m,6 m,"85,94 triệu/m²",2020,8,4,4/8/2020
"Đường Ngũ Nhạc||995, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,6 m,6 m,"66,67 triệu/m²",2020,8,4,4/8/2020
"Đường Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,25 m²,4 m,5 m,80 triệu/m²,2020,8,4,4/8/2020
"Đường Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,4,6 phòng,42 m²,4 m,5 m,"154,76 triệu/m²",2020,8,4,4/8/2020
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,16 m²,4 m,5 m,"162,5 triệu/m²",2020,8,4,4/8/2020
"phú thượng, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Phú Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,37 m²,4 m,5 m,"78,38 triệu/m²",2020,8,4,4/8/2020
"Đường Quốc lộ 5, Phường Việt Hưng, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Việt Hưng,Nhà biệt thự,Đã có sổ,4,4 phòng,120 m²,4 m,5 m,"133,33 triệu/m²",2020,8,4,4/8/2020
"25b, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,44 m²,4 m,5 m,"77,27 triệu/m²",2020,8,4,4/8/2020
"Đường Lãng Yên, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,56 m²,14 m,4 m,"58,93 triệu/m²",2020,8,4,4/8/2020
"Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Đông Ngạc,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,30 m²,5.6 m,5.5 m,"77,33 triệu/m²",2020,8,4,4/8/2020
"Đường Đông Tác, Phường Kim Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,39 m²,5.6 m,4.5 m,"120,51 triệu/m²",2020,8,4,4/8/2020
"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,6,nhiều hơn 10 phòng,61 m²,5.6 m,4.5 m,"85,25 triệu/m²",2020,8,4,4/8/2020
"88, Đường Hồ Tùng Mậu||821, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,44 m²,9.5 m,4.6 m,"79,55 triệu/m²",2020,8,4,4/8/2020
"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,6 phòng,50 m²,9.5 m,4.6 m,96 triệu/m²,2020,8,4,4/8/2020
"Đường Lạc Hồng, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,9.5 m,4.6 m,"66,67 triệu/m²",2020,8,4,4/8/2020
"Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,35 m²,9.5 m,5 m,"75,71 triệu/m²",2020,8,4,4/8/2020
"Đường Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,34 m²,9.5 m,5 m,"64,71 triệu/m²",2020,8,4,4/8/2020
"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,55 m²,9.5 m,5 m,"69,09 triệu/m²",2020,8,4,4/8/2020
"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4 phòng,75 m²,9.5 m,5 m,"119,87 triệu/m²",2020,8,4,4/8/2020
"Đường Nguyễn Sơn||1287, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,46 m²,9.5 m,5 m,"96,74 triệu/m²",2020,8,4,4/8/2020
"Thái Thịnh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ngã Tư Sở,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5 phòng,65 m²,9.5 m,5 m,"284,62 triệu/m²",2020,8,4,4/8/2020
"Đường Mậu Lương, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,33 m²,9.5 m,5 m,"63,33 triệu/m²",2020,8,4,4/8/2020
"Đường Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,37 m²,9.5 m,5 m,"68,92 triệu/m²",2020,8,4,4/8/2020
"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,52 m²,9.5 m,5 m,"76,92 triệu/m²",2020,8,4,4/8/2020
"2 Ngõ 77 Bùi Xương Trạch, Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,8 m,4 m,"79,69 triệu/m²",2020,8,4,4/8/2020
"Đường Vũ Tông Phan||701, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,45 m²,8 m,4 m,"75,56 triệu/m²",2020,8,4,4/8/2020
"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,34 m²,8 m,4 m,"72,06 triệu/m²",2020,8,4,4/8/2020
"61, Đường Trần Phú, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2 phòng,50 m²,8 m,4 m,330 triệu/m²,2020,8,4,4/8/2020
"Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,34 m²,8 m,4 m,"111,76 triệu/m²",2020,8,4,4/8/2020
"Đường Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,49 m²,12.25 m,4 m,"75,51 triệu/m²",2020,8,4,4/8/2020
"Đường Ngọc Hồi||1662, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,40 m²,12.25 m,4 m,40 triệu/m²,2020,8,4,4/8/2020
"Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,60 m²,12.25 m,4 m,"58,33 triệu/m²",2020,8,4,4/8/2020
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,12.25 m,4 m,"84,55 triệu/m²",2020,8,4,4/8/2020
"Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,41 m²,12.25 m,4 m,"87,8 triệu/m²",2020,8,4,4/8/2020
"Đường Nam Dư||990, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,31 m²,12.25 m,4 m,"75,81 triệu/m²",2020,8,4,4/8/2020
"phố Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,48 m²,12.25 m,4 m,100 triệu/m²,2020,8,4,4/8/2020
"Đường Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,Nhà phố liền kề,Đã có sổ,4,6 phòng,45 m²,10 m,4.5 m,"103,33 triệu/m²",2020,8,4,4/8/2020
"Đường Láng||385, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,46 m²,10 m,4.5 m,"156,52 triệu/m²",2020,8,4,4/8/2020
"Đường Thổ Quan, Phường Thổ Quan, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thổ Quan,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,10 m,4 m,70 triệu/m²,2020,8,4,4/8/2020
"Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,4,1 phòng,42 m²,10 m,4.3 m,"71,43 triệu/m²",2020,8,4,4/8/2020
"phố phú lương, Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,10 m,4.3 m,"51,67 triệu/m²",2020,8,4,4/8/2020
"19a, Đường Vân Đồn, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6 phòng,63 m²,21 m,3 m,"111,11 triệu/m²",2020,8,4,4/8/2020
"Đường Vạn Phúc, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,21 m,3 m,"79,33 triệu/m²",2020,8,4,4/8/2020
"Đường Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Đống Mác,"Nhà ngõ, hẻm",Đã có sổ,2,2 phòng,40 m²,21 m,3 m,"47,5 triệu/m²",2020,8,4,4/8/2020
"Đường Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,27 m²,21 m,3 m,"122,22 triệu/m²",2020,8,4,4/8/2020
"Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,37 m²,21 m,5 m,"116,22 triệu/m²",2020,8,4,4/8/2020
"Đường Ngọc Khánh, Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,40 m²,21 m,5 m,75 triệu/m²,2020,8,4,4/8/2020
"Đường Giáp Nhị||967, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,5 m,6 m,"85,94 triệu/m²",2020,8,4,4/8/2020
"Đường Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,5 m,6 m,80 triệu/m²,2020,8,4,4/8/2020
"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,50 m²,5 m,6 m,146 triệu/m²,2020,8,4,4/8/2020
"Đường Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,5 m,6 m,"85,71 triệu/m²",2020,8,4,4/8/2020
"Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,60 m²,5 m,6 m,50 triệu/m²,2020,8,4,4/8/2020
"Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,2,2 phòng,33 m²,5 m,4.2 m,"74,24 triệu/m²",2020,8,4,4/8/2020
"Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,6 phòng,41 m²,5 m,4.2 m,"87,8 triệu/m²",2020,8,4,4/8/2020
"Đường Vân Hồ 3, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Lê Đại Hành,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,13 m²,5 m,4.2 m,"107,69 triệu/m²",2020,8,4,4/8/2020
"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,31 m²,5 m,4.2 m,"87,1 triệu/m²",2020,8,4,4/8/2020
"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,6 phòng,50 m²,5 m,4.2 m,96 triệu/m²,2020,8,4,4/8/2020
"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,5 m,4.2 m,"77,14 triệu/m²",2020,8,4,4/8/2020
"Đường Thái Thịnh||432, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,43 m²,5 m,4.2 m,"76,74 triệu/m²",2020,8,4,4/8/2020
"tựu Liệt, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,35 m²,5 m,4.2 m,"45,71 triệu/m²",2020,8,4,4/8/2020
"Đường Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,26 m²,5 m,4.2 m,"161,54 triệu/m²",2020,8,4,4/8/2020
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,41 m²,5 m,4.2 m,"73,17 triệu/m²",2020,8,4,4/8/2020
"Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,1,2 phòng,45 m²,5 m,7 m,"55,56 triệu/m²",2020,8,4,4/8/2020
"Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,46 m²,5 m,4 m,75 triệu/m²,2020,8,4,4/8/2020
"Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,34 m²,5 m,4 m,"72,94 triệu/m²",2020,8,4,4/8/2020
"Đường Lê Trọng Tấn, Xã La Phù, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,5 m,4 m,"30,3 triệu/m²",2020,8,4,4/8/2020
"Đường Cầu Diễn, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Cầu Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3 phòng,35 m²,5 m,4 m,"41,71 triệu/m²",2020,8,4,4/8/2020
"Khu đô thị Geleximco Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,33 m²,5 m,4 m,"31,82 triệu/m²",2020,8,4,4/8/2020
"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,7,6 phòng,65 m²,5 m,4 m,"181,54 triệu/m²",2020,8,4,4/8/2020
"Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,24 m²,5 m,5 m,"77,08 triệu/m²",2020,8,4,4/8/2020
"Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,40 m²,5 m,5 m,"72,25 triệu/m²",2020,8,4,4/8/2020
"Đường Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6 phòng,67 m²,15 m,45 m,"111,94 triệu/m²",2020,8,4,4/8/2020
"Đường Quan Nhân, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,50 m²,11 m,4.6 m,78 triệu/m²,2020,8,4,4/8/2020
"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,35 m²,11 m,3.5 m,68 triệu/m²,2020,8,4,4/8/2020
"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35.22 m²,11 m,3.5 m,"44,29 triệu/m²",2020,8,4,4/8/2020
"huyền kỳ, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,11 m,3.75 m,"53,13 triệu/m²",2020,8,4,4/8/2020
"Đường Phố Lụa||1855, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,33 m²,11 m,3.65 m,"81,82 triệu/m²",2020,8,4,4/8/2020
"đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,11 m,3.65 m,"87,5 triệu/m²",2020,8,4,4/8/2020
"Đường Đông Thiên, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,11 m,3.65 m,70 triệu/m²,2020,8,4,4/8/2020
"Đường Cổ Bi, Xã Cổ Bi, Huyện Gia Lâm, Hà Nội",Huyện Gia Lâm,Xã Cổ Bi,"Nhà ngõ, hẻm",Đã có sổ,2,3 phòng,44 m²,11 m,3.65 m,"35,23 triệu/m²",2020,8,4,4/8/2020
"Đường Quốc Tử Giám, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Quốc Tử Giám,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,11 m,3.65 m,"106,67 triệu/m²",2020,8,4,4/8/2020
"Đường Biên Giang, Phường Biên Giang, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Biên Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4 phòng,110 m²,15.7 m,7 m,"31,82 triệu/m²",2020,8,4,4/8/2020
"Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,15.7 m,7 m,"98,33 triệu/m²",2020,8,4,4/8/2020
"Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,15.7 m,4 m,"72,86 triệu/m²",2020,8,4,4/8/2020
"Đường Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,15.7 m,4 m,"94,29 triệu/m²",2020,8,4,4/8/2020
"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,41 m²,10 m,4.1 m,"112,2 triệu/m²",2020,8,4,4/8/2020
"Đường Đặng Tiến Đông, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,38 m²,10 m,4.1 m,"131,58 triệu/m²",2020,8,4,4/8/2020
"Đường Mai Động, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5 phòng,34 m²,10 m,4.1 m,"82,35 triệu/m²",2020,8,4,4/8/2020
"Tựu Liệt, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,42 m²,10 m,4.1 m,"38,1 triệu/m²",2020,8,4,4/8/2020
"Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6 phòng,76 m²,10 m,4.1 m,"57,89 triệu/m²",2020,8,4,4/8/2020
"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,9 m,4 m,"95,71 triệu/m²",2020,8,4,4/8/2020
"Đường Nghĩa Bình||1820, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,9 m,3.5 m,"41,43 triệu/m²",2020,8,4,4/8/2020
"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,40 m²,9 m,3.5 m,"87,5 triệu/m²",2020,8,4,4/8/2020
"thịnh hào 3, Phường Hàng Bột, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,2,1 phòng,20 m²,9 m,4 m,70 triệu/m²,2020,8,4,4/8/2020
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,34 m²,9 m,4 m,"80,88 triệu/m²",2020,8,4,4/8/2020
"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,13 m²,9 m,4 m,"203,85 triệu/m²",2020,8,4,4/8/2020
